Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jeremy Sochan,15.9,0.589,19,1.7,1.1,2.7,0.096,-0.8,-0.4,-1.2,0.3
Luke Kornet,19.6,0.683,11.4,4.8,2.2,7,0.246,1.6,1.7,3.3,1.8
Trey Lyles,12.3,0.551,14.3,1.3,1.2,2.6,0.091,-0.4,-0.3,-0.7,0.4
Jake LaRavia,12.6,0.591,14.4,1.4,1.5,2.9,0.104,-0.8,1.1,0.2,0.8
Jake LaRavia,13.5,0.605,14.5,1.2,1.2,2.4,0.119,-0.2,1.5,1.3,0.8
Jake LaRavia,10.2,0.551,14.2,0.2,0.3,0.5,0.063,-2.5,-0.2,-2.7,-0.1
Bogdan Bogdanovic,11.1,0.559,18.7,0.7,1.2,1.9,0.069,-1.8,-0.2,-2,0
Bogdan Bogdanovic,7.6,0.502,18.9,-0.4,0.4,-0.1,-0.006,-4.1,-0.6,-4.7,-0.4
Bogdan Bogdanovic,14,0.608,18.6,1.1,0.9,2,0.128,0.1,0.1,0.2,0.4
Justin Champagnie,15.7,0.614,15.6,1.6,1.2,2.8,0.1,-0.3,-0.2,-0.5,0.5
Paul George,14.5,0.543,23.5,-0.2,1.2,1,0.036,-0.5,0.1,-0.4,0.5
Ausar Thompson,17.2,0.568,19.1,1.5,2.4,3.8,0.138,-0.8,2.5,1.7,1.2
Donovan Clingan,17.4,0.574,14.2,1.8,2.2,4,0.144,-1.7,1.4,-0.3,0.6
Jordan Hawkins,9.6,0.504,21,-0.7,0.1,-0.5,-0.02,-2.4,-3,-5.4,-1.2
Tyrese Martin,10.9,0.533,18.8,0,0.9,0.9,0.033,-1.4,-1.2,-2.6,-0.2
Mason Plumlee,14.8,0.645,10.8,2.4,1.3,3.7,0.136,-1.5,1,-0.6,0.5
Jonathan Mogbo,11.9,0.496,15,0.3,1.6,1.9,0.071,-2.9,1,-1.9,0
Jalen Johnson,17.3,0.569,22.5,0.8,1.6,2.4,0.089,0.5,1.4,1.8,1.2
Max Strus,12.6,0.607,14.7,2.2,1.3,3.4,0.13,1.1,0.2,1.3,1.1
Johnny Juzang,11.8,0.573,17.6,1.3,0.3,1.6,0.06,-0.9,-1.4,-2.3,-0.1
Ron Holland,11.1,0.556,18.1,0.2,1.5,1.8,0.067,-3.3,0.3,-3,-0.3
Javonte Green,10.7,0.541,11.8,0.7,0.9,1.6,0.063,-2.8,0.5,-2.3,-0.1
Javonte Green,10.8,0.569,10.9,0.8,0.6,1.4,0.063,-2.5,0.3,-2.2,0
Javonte Green,10.2,0.438,18.2,-0.1,0.3,0.2,0.063,-4.4,1.3,-3.1,0
Nick Richards,16.6,0.634,17.3,1.8,1.2,3,0.114,-2,-1.3,-3.3,-0.4
Nick Richards,17.2,0.614,17.9,0.5,0.5,1.1,0.117,-2.3,0.2,-2,0
Nick Richards,16.3,0.645,17,1.3,0.6,1.9,0.112,-1.9,-2.1,-3.9,-0.4
Dean Wade,10.1,0.563,10.4,1.3,1.7,3,0.113,-1,1.2,0.3,0.7
Ricky Council IV,11.6,0.502,20.3,0.1,0.5,0.6,0.023,-2,-2.3,-4.3,-0.7
Tidjane Salaun,7.7,0.457,15.2,-0.9,0.9,0,0.002,-4.3,-0.8,-5.2,-1
Bobby Portis,17.7,0.542,24.1,0.9,1.9,2.7,0.106,0.6,-0.4,0.2,0.7
Moussa Diabate,16.5,0.609,13.4,1.8,1.5,3.2,0.125,-1.4,-0.4,-1.9,0
Jeremiah Robinson-Earl,12.9,0.563,14.4,1.3,0.5,1.7,0.067,-0.9,-1.6,-2.5,-0.2
Simone Fontecchio,9.7,0.544,15.8,0.4,1.2,1.6,0.063,-2.2,-0.7,-2.9,-0.3
Cole Anthony,14.2,0.531,24.6,0,2,2,0.078,-0.8,0.9,0.1,0.7
Ben Sheppard,9.2,0.555,11.3,1,1,2.1,0.081,-2.2,0.2,-2,0
Daniel Gafford,24.7,0.716,19.5,4.4,1.5,5.9,0.232,2.7,1.1,3.8,1.8
John Collins,19,0.628,24.2,1.7,0.8,2.5,0.098,1.4,-0.4,1,0.9
Caleb Martin,9.6,0.513,14.4,0,0.7,0.6,0.025,-2.9,-0.2,-3.2,-0.4
Caleb Martin,10.1,0.531,14.2,0.1,0.5,0.6,0.03,-2.3,-0.2,-2.5,-0.1
Caleb Martin,8,0.454,14.9,-0.2,0.2,0,0.008,-5,-0.3,-5.3,-0.2
Kristaps Porzingis,22.3,0.618,25.9,3.3,2,5.3,0.212,3.5,1.2,4.7,2.1
Brandon Clarke,17.6,0.638,15.3,2.7,1.7,4.4,0.174,0,0.8,0.8,0.9
Deandre Ayton,17.7,0.583,19.4,1.2,1.6,2.8,0.113,-0.3,-0.4,-0.7,0.4
Jarace Walker,11.9,0.59,17.1,0.1,1.5,1.6,0.065,-1.8,0.8,-0.9,0.3
Kawhi Leonard,20.5,0.589,27.7,1.5,1.9,3.5,0.141,2.5,0.6,3.1,1.5
Clint Capela,17.7,0.564,16.7,1.7,1.5,3.2,0.131,-0.6,-0.4,-1,0.3
Cody Martin,11.3,0.509,14.7,0.1,1.2,1.3,0.054,-2.8,1.1,-1.7,0.1
Cody Martin,11.7,0.528,14.6,0.3,1,1.3,0.063,-2.3,1.1,-1.2,0.2
Cody Martin,9.5,0.417,15.3,-0.2,0.2,0,0.01,-4.9,0.9,-4,-0.1
Mark Williams,23.9,0.647,21.4,3.1,1.6,4.7,0.195,2.5,0.9,3.5,1.6
Precious Achiuwa,13.6,0.53,14.9,0.7,1.7,2.3,0.095,-2.1,0.2,-1.9,0
Nikola Jovic,13.8,0.595,18.3,1.2,1.3,2.5,0.104,-0.3,0.6,0.3,0.7
Justin Edwards,11.3,0.559,16.9,0.4,0.5,0.9,0.039,-2.1,-1.6,-3.7,-0.5
Vit Krejci,12.7,0.661,12.9,1.8,0.8,2.6,0.11,0,0.7,0.7,0.8
Jonathan Kuminga,15.7,0.535,27.4,0.5,1.5,1.9,0.08,-0.5,-0.1,-0.6,0.4
Kevon Looney,17,0.535,13.3,2.2,2.1,4.3,0.182,-1,1.3,0.3,0.7
Kenrich Williams,13.7,0.587,15.4,1.6,1.9,3.6,0.151,-0.4,0.9,0.6,0.7
Julian Phillips,10.2,0.571,12.9,1,0.8,1.9,0.08,-2.6,-0.4,-3,-0.3
Aaron Nesmith,14.6,0.653,17.4,1.9,1,2.9,0.126,0,-0.5,-0.5,0.4
Dalano Banton,12.9,0.497,24.1,-0.3,1.1,0.8,0.033,-0.6,-0.2,-0.8,0.3
Ben Simmons,12.4,0.539,13.2,0.5,1.3,1.8,0.078,-2.3,1.8,-0.5,0.4
Ben Simmons,12.6,0.562,14.3,0.3,0.9,1.1,0.065,-2.4,1.4,-1,0.2
Ben Simmons,11.9,0.464,10.4,0.2,0.5,0.7,0.116,-1.9,2.7,0.9,0.2
Ja'Kobe Walter,10.8,0.523,18.2,0.3,0.9,1.2,0.052,-2.3,-0.6,-3,-0.3
Jaxson Hayes,15.8,0.72,12.4,2.3,1.4,3.7,0.162,-1.6,1.3,-0.3,0.5
Cameron Payne,13.8,0.532,20.8,1.3,1,2.3,0.099,-0.1,-0.2,-0.2,0.5
Jonathan Isaac,16.6,0.512,16.2,0.8,2.5,3.4,0.148,-1.1,1.8,0.7,0.7
DaQuan Jeffries,7.9,0.518,13.5,0,0.6,0.6,0.027,-4,-0.7,-4.7,-0.7
Jusuf Nurkic,15.2,0.555,20.6,0,1.5,1.5,0.066,-2.2,0.9,-1.3,0.2
Jusuf Nurkic,12.6,0.556,18.7,-0.3,0.8,0.5,0.039,-3.9,0.5,-3.4,-0.2
Jusuf Nurkic,18.4,0.554,23,0.3,0.7,1,0.099,-0.1,1.4,1.2,0.4
Seth Curry,12.2,0.616,15.7,1.3,0.5,1.8,0.08,-0.8,-0.9,-1.7,0.1
Cody Williams,3.7,0.419,12.5,-1.2,0.1,-1.2,-0.053,-6.1,-1.2,-7.3,-1.4
Isaac Okoro,10.7,0.587,12.5,1.5,1,2.5,0.115,-1.1,0.6,-0.5,0.4
Oso Ighodaro,11.1,0.61,10.5,1.1,0.6,1.6,0.075,-2.9,0.3,-2.6,-0.2
Jared Butler,15.6,0.549,23.6,1,0.4,1.4,0.063,0.5,-1.5,-1,0.3
Jared Butler,17.7,0.562,26.1,0.5,0.1,0.6,0.079,2.2,-1.2,1,0.3
Jared Butler,14.5,0.54,22.2,0.4,0.3,0.8,0.055,-0.4,-1.7,-2.1,0
Jamison Battle,10.7,0.59,15.3,1,0.7,1.7,0.079,-0.9,-1.3,-2.3,-0.1
Noah Clowney,9.2,0.516,19,-0.3,0.8,0.5,0.023,-3.1,-1,-4.1,-0.5
Alex Caruso,15.9,0.568,15.2,1.6,2.3,3.9,0.18,0.1,3.9,4,1.6
Kris Murray,9.1,0.472,13.9,-0.2,0.9,0.7,0.033,-3.1,0.1,-3,-0.3
Dejounte Murray,15.4,0.494,27.3,-0.7,0.9,0.2,0.009,-1.3,-0.3,-1.6,0.1
Jalen Suggs,14.4,0.536,27.5,-0.7,1.8,1.1,0.052,-0.8,1.3,0.4,0.6
Kyle Anderson,15.1,0.538,15.9,1.3,1.5,2.8,0.135,-0.6,2.2,1.5,0.9
Kyle Anderson,14.8,0.522,15.7,0.6,0.9,1.5,0.132,-0.3,2.6,2.3,0.6
Kyle Anderson,15.3,0.557,16.1,0.7,0.6,1.3,0.139,-1,1.7,0.6,0.3
Brandon Boston Jr.,12.7,0.535,20,0.2,0.5,0.7,0.033,-2.3,-0.2,-2.5,-0.1
Dalen Terry,9.6,0.546,14.9,0.2,0.8,1.1,0.052,-4,0.2,-3.8,-0.5
Andre Jackson Jr.,8.6,0.554,11.9,0.1,1,1.2,0.059,-3.6,0.2,-3.4,-0.3
Zach Collins,16,0.605,17.1,1.7,1,2.7,0.132,-0.8,0.8,0,0.5
Zach Collins,14.4,0.566,17.1,0.6,0.4,1,0.11,-1.6,1.5,-0.1,0.2
Zach Collins,17.2,0.635,17.1,1.1,0.6,1.7,0.149,-0.1,0.2,0.1,0.3
Trayce Jackson-Davis,18.5,0.587,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8
Thomas Bryant,17.2,0.614,17.1,1.8,1.2,3.1,0.152,0.7,0,0.6,0.6
Thomas Bryant,15.8,0.624,13.4,0.2,0.2,0.4,0.171,-1.1,1.1,0,0.1
Thomas Bryant,17.4,0.613,17.6,1.6,1,2.6,0.15,0.9,-0.2,0.7,0.6
Jalen Smith,18.7,0.586,21,1.7,1.3,2.9,0.146,1.5,-0.6,0.9,0.7
Jordan Clarkson,14.5,0.54,27.8,0.2,0.2,0.4,0.021,0.6,-2.1,-1.5,0.1
Gary Payton II,16.2,0.635,16.1,1.5,1.5,3,0.155,-0.5,2,1.4,0.8
Brandon Miller,14,0.54,27.7,-0.2,0.7,0.4,0.023,0.8,-0.8,0,0.4
Bruce Brown,10.9,0.504,17.2,0.1,0.6,0.7,0.035,-3.2,-0.6,-3.8,-0.4
Bruce Brown,12.3,0.525,19.3,0,0.4,0.4,0.06,-2.7,0.2,-2.5,0
Bruce Brown,10.1,0.488,15.9,0.1,0.2,0.2,0.02,-3.4,-1.2,-4.6,-0.4
Immanuel Quickley,17.5,0.57,25.1,1.8,0.6,2.5,0.128,3.2,-1,2.2,1
Trendon Watford,13,0.557,23.3,0,0.8,0.7,0.038,-2.3,-0.8,-3.1,-0.3
KJ Martin,10.2,0.618,11.5,1.1,0.2,1.3,0.068,-3.2,-0.3,-3.6,-0.4
KJ Martin,12.3,0.689,11.2,0.9,0.2,1.1,0.107,-2.1,0.3,-1.7,0
KJ Martin,7.9,0.546,11.8,0.2,0,0.2,0.024,-4.6,-1.1,-5.6,-0.4
Jaden Hardy,10.4,0.549,25.3,-0.8,0.5,-0.3,-0.016,-2.8,-1.9,-4.7,-0.6
Day'Ron Sharpe,19.7,0.568,19.9,1.3,1.4,2.7,0.141,0,0.9,0.9,0.7
Adem Bona,16.5,0.714,14.3,1.4,0.9,2.3,0.121,-2.9,0.2,-2.7,-0.2
Tre Jones,16.3,0.617,14.1,2.3,0.6,2.9,0.155,0.5,1,1.5,0.8
Tre Jones,13.8,0.572,12.2,0.9,0.3,1.1,0.118,-1.2,1.1,-0.1,0.2
Tre Jones,18.8,0.647,16,1.5,0.4,1.8,0.191,2.1,1,3.1,0.6
Jaden Ivey,14.7,0.569,26,0.3,0.8,1.2,0.062,0.8,-0.8,0,0.5
Kelly Olynyk,14.9,0.609,18.5,1,0.7,1.7,0.092,-1.1,0.4,-0.7,0.3
Kelly Olynyk,14.9,0.624,18.8,0.4,0.5,0.9,0.112,-0.7,0.9,0.2,0.2
Kelly Olynyk,14.8,0.596,18.2,0.6,0.3,0.8,0.077,-1.4,0,-1.4,0.1
Chet Holmgren,19.2,0.599,22,1.1,2,3.2,0.173,0.5,1.9,2.4,1
Neemias Queta,16.3,0.674,13.7,1.8,1.4,3.2,0.179,-1.7,1,-0.7,0.3
Alec Burks,12.8,0.608,16.5,0.9,0.9,1.8,0.1,0,0.3,0.3,0.5
Chris Boucher,18.7,0.615,21.2,1.7,1,2.7,0.148,2.9,-0.6,2.3,0.9
Zion Williamson,27.3,0.6,34.7,1.9,0.6,2.5,0.141,5.9,1,7,1.9
Khris Middleton,16.7,0.588,22,1.2,0.8,2,0.116,0.4,0.3,0.7,0.6
Khris Middleton,17.8,0.627,22,1.1,0.6,1.7,0.15,1.7,0.6,2.2,0.6
Khris Middleton,14.9,0.526,22,0.1,0.2,0.4,0.057,-1.9,-0.1,-2,0
KJ Simpson,8.3,0.437,19.1,-1,0.5,-0.4,-0.025,-4.5,-0.9,-5.4,-0.7
Shake Milton,11.9,0.563,16.7,0.8,0.5,1.3,0.077,-1.7,-0.5,-2.2,0
Shake Milton,12.8,0.58,17,0.7,0.3,1,0.093,-0.8,-0.2,-0.9,0.1
Shake Milton,10.5,0.535,16.3,0.1,0.3,0.4,0.055,-3.1,-0.9,-4,-0.2
Dereck Lively II,20.1,0.704,13.6,2.4,1,3.4,0.199,1.1,2.2,3.3,1.1
Garrison Mathews,11.2,0.606,15.9,1,0.5,1.5,0.087,-1.1,-0.5,-1.6,0.1
Cam Whitmore,15.5,0.549,23.9,0.6,1.2,1.8,0.106,0.7,-0.4,0.3,0.5
Ryan Rollins,14,0.6,18.4,0.7,1,1.7,0.101,-1.4,0.9,-0.5,0.3
Marcus Sasser,14,0.589,19.4,1,0.8,1.8,0.108,-0.4,-0.2,-0.6,0.3
Steven Adams,16.6,0.541,13.6,1,1.3,2.3,0.137,0,0.3,0.3,0.5
Aaron Holiday,12.2,0.594,16.8,1.2,0.8,2,0.122,-0.4,0.1,-0.2,0.3
Karlo Matkovic,15.6,0.639,15.9,1,0.6,1.6,0.096,-1.9,-0.2,-2,0
Caleb Houstan,9.4,0.605,11.7,0.9,0.9,1.8,0.109,-2.4,0.2,-2.2,0
Vasilije Micic,6.5,0.462,19.9,-1.2,0.2,-1,-0.06,-4.6,-2.4,-7,-1
Vasilije Micic,6.8,0.462,20.3,-1.1,0.3,-0.9,-0.056,-4.4,-2.4,-6.8,-0.9
Vasilije Micic,-5.2,,6.3,-0.1,0,-0.1,-0.189,-10.7,-4.1,-14.8,-0.1
Jaylin Williams,16.4,0.594,14.6,1.5,1.7,3.3,0.199,1.5,2.7,4.3,1.2
Pelle Larsson,10.2,0.546,14.4,0.6,0.8,1.4,0.086,-3.8,0.7,-3.1,-0.2
Cam Thomas,18,0.575,32.6,0.8,0.4,1.2,0.071,2.8,-2.6,0.3,0.5
Lindy Waters III,8.8,0.504,14.8,0.1,0.9,1,0.062,-3,0.2,-2.8,-0.2
Lindy Waters III,8.4,0.498,14.6,0,0.8,0.8,0.057,-3.5,0.4,-3.1,-0.2
Lindy Waters III,11,0.534,16.1,0.1,0.1,0.2,0.086,-0.5,-0.7,-1.2,0
Lonzo Ball,12.2,0.524,15.9,0.3,0.9,1.2,0.075,-1.5,1.7,0.2,0.4
Orlando Robinson,12.9,0.519,18.5,0.4,0.8,1.2,0.072,-3,-0.4,-3.4,-0.3
Orlando Robinson,12.2,0.473,18.2,0,0.1,0.1,0.047,-4.1,1.3,-2.9,0
Orlando Robinson,12.9,0.523,18.6,0.4,0.7,1.1,0.074,-2.9,-0.5,-3.5,-0.3
Eric Gordon,10.8,0.591,14.4,0.7,0.2,0.9,0.053,-0.8,-0.8,-1.6,0.1
Gui Santos,11.7,0.575,13.2,0.8,0.9,1.7,0.11,-2.2,0.5,-1.7,0.1
Landry Shamet,9.7,0.601,14.8,0.5,0.5,1,0.065,-1.9,-0.6,-2.4,-0.1
Svi Mykhailiuk,9.8,0.526,20.3,-0.2,0.1,-0.1,-0.009,-1.4,-2.1,-3.5,-0.3
Andre Drummond,16,0.535,19.1,0.2,1,1.2,0.078,-2.4,-0.8,-3.2,-0.2
Jabari Walker,15,0.601,16.3,1,1,2,0.128,-1.2,0.5,-0.8,0.2
Jay Huff,18.2,0.666,19.6,1.6,1,2.5,0.162,2.5,1,3.5,1.1
Drew Eubanks,15.6,0.622,15.1,1,0.7,1.7,0.107,-1.2,0.6,-0.7,0.3
Drew Eubanks,15.9,0.632,14.8,0.8,0.4,1.2,0.1,-0.9,0.9,0,0.3
Drew Eubanks,14.8,0.589,16,0.2,0.3,0.5,0.129,-2.4,-0.3,-2.7,0
Talen Horton-Tucker,13.8,0.567,21.6,0.6,0.5,1.1,0.075,-1.4,-1.1,-2.4,-0.1
Gary Harris,6.9,0.524,9.5,0.1,0.9,1,0.067,-3.9,1.2,-2.7,-0.1
Micah Potter,8.5,0.563,10.3,0.2,0.3,0.4,0.03,-2.9,-0.6,-3.5,-0.3
Jett Howard,7.1,0.491,19.2,-0.6,0.8,0.1,0.01,-4.1,-1.2,-5.3,-0.6
DeAndre Jordan,15.4,0.621,12.8,0.9,0.9,1.8,0.127,-1.4,0.2,-1.2,0.2
Quinten Post,14.2,0.595,19.6,0.8,0.9,1.7,0.116,0.1,0,0.1,0.4
Blake Wesley,9.9,0.51,16.7,-0.3,0.4,0.2,0.011,-3.9,-0.3,-4.2,-0.4
Sandro Mamukelashvili,19.7,0.628,20.8,1.6,0.6,2.2,0.152,3.3,-1,2.3,0.7
Marcus Smart,12.4,0.529,20.6,0.1,0.6,0.7,0.051,-1.6,0.1,-1.5,0.1
Marcus Smart,11.3,0.504,20,0,0.5,0.4,0.054,-1.7,0.5,-1.2,0.1
Marcus Smart,14,0.563,21.5,0.1,0.2,0.3,0.046,-1.5,-0.5,-1.9,0
Jalen Pickett,10.9,0.545,13.2,0.8,0.3,1.1,0.078,-0.8,-0.7,-1.5,0.1
Tosan Evbuomwan,11.6,0.53,19.1,0,0.6,0.6,0.044,-3,-0.3,-3.2,-0.2
Antonio Reeves,11.7,0.579,18.8,0.4,0,0.4,0.029,-1.2,-2,-3.2,-0.2
Kyle Lowry,9.8,0.525,10.1,0.6,0.4,1,0.07,-2.8,1.5,-1.3,0.1
Reed Sheppard,9.7,0.465,17.8,-0.3,1,0.8,0.055,-3,1.3,-1.7,0.1
Herbert Jones,10.4,0.541,14.6,0.1,0.3,0.4,0.033,-3.9,0.2,-3.6,-0.3
AJ Johnson,7.1,0.48,17.4,-0.5,0,-0.4,-0.032,-5.6,-2.5,-8.1,-1
AJ Johnson,10.6,0.503,23.8,-0.1,0,0,-0.023,-3.1,-1.8,-4.9,0
AJ Johnson,6.9,0.478,17,-0.4,0,-0.4,-0.033,-5.8,-2.5,-8.3,-0.9
Maxi Kleber,5.6,0.489,8.7,0,0.4,0.3,0.023,-4.2,0.4,-3.8,-0.3
Delon Wright,9.2,0.44,11.3,0,0.7,0.7,0.053,-2.8,1.4,-1.4,0.1
Delon Wright,7.4,0.365,11.2,-0.3,0.5,0.2,0.022,-4.1,1.6,-2.5,-0.1
Delon Wright,12.4,0.566,11.5,0.3,0.2,0.5,0.109,-0.6,1.1,0.5,0.1
Jericho Sims,10,0.639,7.6,0.5,0.7,1.3,0.096,-3.1,0.1,-3,-0.2
Jericho Sims,9.9,0.619,7.5,0.4,0.5,0.8,0.096,-3.3,-0.2,-3.5,-0.2
Jericho Sims,10.2,0.68,7.7,0.1,0.3,0.4,0.097,-2.8,0.9,-1.9,0
Josh Okogie,16.3,0.567,19.5,0.6,0.7,1.3,0.1,-0.1,1.6,1.5,0.6
Josh Okogie,15.8,0.586,18.1,0.4,0.3,0.7,0.092,0.1,0.3,0.4,0.2
Josh Okogie,16.8,0.548,21.2,0.2,0.4,0.6,0.11,-0.3,3.3,3.1,0.4
Jeff Dowtin,16.1,0.57,18.6,1.1,0.3,1.3,0.103,0.7,-0.5,0.2,0.3
Daniel Theis,12.1,0.558,11.6,0.6,0.4,1,0.077,-3.3,0,-3.3,-0.2
Cory Joseph,10.9,0.547,12.8,0.6,0.9,1.5,0.114,-2.3,1.4,-0.8,0.2
Zeke Nnaji,12,0.574,12.2,0.6,0.6,1.2,0.097,-2.1,0.7,-1.3,0.1
Kessler Edwards,11.3,0.597,11.1,0.6,0.6,1.2,0.096,-2,0.6,-1.4,0.1
Pat Connaughton,12.1,0.567,15.6,0.6,0.6,1.2,0.093,-1.4,-0.8,-2.3,0
Ajay Mitchell,12,0.587,16.2,0.6,0.9,1.5,0.122,-2.5,0.9,-1.6,0.1
Brandon Ingram,16,0.56,30.2,-0.2,0.2,0,0.001,1.4,-1.7,-0.3,0.3
Jared McCain,15.2,0.589,24.7,0.6,0.1,0.7,0.057,1.8,-1.6,0.2,0.3
Cam Reddish,7.4,0.498,8.8,0,0.6,0.7,0.054,-4.4,1.6,-2.7,-0.1
Jae'Sean Tate,12.3,0.557,13.3,0.8,0.8,1.6,0.133,-2.1,1.4,-0.7,0.2
Olivier-Maxence Prosper,12.6,0.484,16.3,0.3,0.5,0.9,0.072,-1.6,-0.5,-2.1,0
Jarred Vanderbilt,13.2,0.537,12.5,0.5,0.9,1.4,0.114,-2.3,1.3,-1,0.2
Joel Embiid,23.4,0.58,34.2,0.9,0.5,1.4,0.118,3.7,-0.3,3.5,0.8
Monte Morris,13.1,0.546,18.1,0.6,0.2,0.8,0.064,-1,-0.8,-1.8,0
Moritz Wagner,22.3,0.649,26.8,1,1,2,0.174,2.6,1.4,4,0.9
Malcolm Brogdon,15.8,0.544,23.7,0.6,0.1,0.7,0.061,-0.1,-1.5,-1.5,0.1
John Konchar,12.1,0.592,8,0.6,0.9,1.5,0.131,-0.7,2.3,1.7,0.5
Dwight Powell,12.9,0.713,7.6,1.2,0.5,1.7,0.147,-1.5,1.5,0,0.3
Dillon Jones,8.1,0.464,13.3,-0.1,0.9,0.8,0.067,-4.3,0.3,-4,-0.3
Jordan Goodwin,12.1,0.541,14.1,0.2,0.7,1,0.084,-1.7,0.8,-0.8,0.2
Richaun Holmes,19.8,0.695,14.7,1.6,0.4,2,0.178,1.2,0,1.1,0.4
Mouhamed Gueye,14.4,0.52,15.7,0.4,0.8,1.2,0.106,-1.6,1,-0.6,0.2
Bismack Biyombo,12.2,0.576,12.3,0.2,0.6,0.8,0.071,-3.6,0,-3.6,-0.2
Jaylen Clark,12,0.598,12,0.9,0.7,1.6,0.147,-2.9,2.7,-0.2,0.2
Rob Dillingham,10.2,0.503,22.7,-0.4,0.6,0.1,0.012,-3.3,-0.9,-4.2,-0.3
Colby Jones,11.4,0.544,13.7,0.1,0.4,0.6,0.053,-3.3,0.4,-2.8,-0.1
Colby Jones,8.6,0.5,10.9,-0.1,0.2,0.1,0.036,-3.9,1.2,-2.7,0
Colby Jones,12.3,0.553,14.7,0.2,0.3,0.5,0.059,-3.1,0.2,-2.9,-0.1
Craig Porter Jr.,13.1,0.61,15.9,0.5,0.6,1.1,0.102,0.1,1,1.1,0.4
Tristan Vukcevic,17.8,0.608,25.7,0.3,0.4,0.7,0.069,0.4,-0.9,-0.5,0.2
Elfrid Payton,8.5,0.34,15.2,-0.9,0.3,-0.6,-0.057,-5.1,-1.3,-6.4,-0.6
Elfrid Payton,10.6,0.38,17,-0.6,0.2,-0.4,-0.047,-3.6,-1.9,-5.5,-0.3
Elfrid Payton,1.7,0.143,9.7,-0.3,0.1,-0.2,-0.087,-9.9,0.7,-9.2,-0.2
Jamal Cain,11.4,0.544,17,0.1,0.2,0.4,0.036,-2.5,-0.8,-3.4,-0.2
Keaton Wallace,10.1,0.503,16.4,-0.1,0.5,0.4,0.034,-3.3,1,-2.3,0
Jock Landale,16,0.59,15.7,1,0.7,1.7,0.159,0,0.4,0.4,0.3
Vince Williams Jr.,9.2,0.504,17,-0.1,0.5,0.4,0.04,-2.5,-0.3,-2.8,-0.1
Wendell Moore Jr.,11,0.553,13.8,0.2,0.5,0.7,0.063,-2.6,-0.1,-2.7,-0.1
Wendell Moore Jr.,12.4,0.561,12.6,0.2,0.3,0.5,0.115,-1.7,1.7,0,0.1
Wendell Moore Jr.,10,0.547,14.8,-0.1,0.2,0.1,0.023,-3.2,-1.5,-4.7,-0.2
Brandon Williams,18.3,0.634,22.6,0.9,0.4,1.3,0.129,1,-0.1,1,0.4
A.J. Lawson,12.7,0.542,20,0.4,0.4,0.8,0.081,-1.5,-1,-2.5,-0.1
Grant Williams,11.5,0.596,14.8,0.3,0.4,0.7,0.071,-2.3,0.7,-1.6,0.1
Lonnie Walker IV,13.1,0.548,22.8,0.2,0.1,0.3,0.033,0,-2.4,-2.4,0
Duop Reath,13.7,0.552,17,0.6,0.4,1,0.105,0.2,-0.5,-0.3,0.2
Reece Beekman,7.5,0.4,12.8,-0.4,0.5,0.1,0.01,-6.7,1.3,-5.4,-0.4
Reece Beekman,42.3,1,10.5,0,0,0,0.598,9.8,16.1,26,0
Reece Beekman,7.2,0.395,12.8,-0.4,0.5,0.1,0.005,-6.8,1.2,-5.6,-0.4
Kai Jones,20.2,0.804,13,1.4,0.7,2.1,0.216,1.4,1.5,2.9,0.6
