Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kai Jones,14.5,0.739,10.8,0.3,0.4,0.7,0.16,-2,2.6,0.6,0.1
Kai Jones,24.8,0.837,14.8,1.1,0.3,1.4,0.261,4.2,0.6,4.8,0.4
Larry Nance Jr.,16,0.632,15.7,0.8,0.5,1.3,0.131,1.1,0.7,1.8,0.4
Collin Gillespie,16.8,0.578,17.7,1,0.3,1.3,0.131,2.3,0.2,2.5,0.5
Rayan Rupert,8.1,0.499,16.8,-0.3,0.4,0.1,0.007,-4.1,-0.6,-4.7,-0.3
GG Jackson II,9.3,0.482,21.7,-0.4,0.4,0.1,0.009,-3.3,-2,-5.3,-0.4
Jaylon Tyson,11.1,0.523,17.4,0.3,0.5,0.8,0.083,-2.4,-0.2,-2.7,-0.1
Bol Bol,18.4,0.627,21.1,0.6,0.3,0.9,0.097,1.7,-0.9,0.8,0.3
Paul Reed,18.6,0.573,18,0.6,1,1.6,0.173,-1.2,4,2.9,0.5
Colin Castleton,11.3,0.536,13.4,0.3,0.4,0.7,0.075,-4,-1,-5,-0.3
Colin Castleton,7.4,0.472,13.9,0,0,0.1,0.068,-6.1,-1,-7.1,-0.1
Colin Castleton,10.1,0.549,13.5,0,0.3,0.3,0.047,-5,-0.8,-5.7,-0.3
Colin Castleton,16.5,0.536,12.9,0.3,0.1,0.3,0.161,-0.3,-1.7,-2,0
Trevelin Queen,11.9,0.486,18.1,-0.1,0.8,0.7,0.074,-2.6,2.3,-0.3,0.2
Malaki Branham,12,0.575,23.8,-0.1,0.2,0.1,0.007,-1.2,-1.9,-3.2,-0.1
Jordan Miller,10.5,0.509,18.2,-0.1,0.5,0.4,0.049,-3,0.2,-2.8,-0.1
Mo Bamba,13.9,0.557,15.2,0.2,0.8,1,0.117,-2.7,1.9,-0.9,0.1
Mo Bamba,14.5,0.561,16.5,0.1,0.8,0.9,0.124,-2.6,2.4,-0.2,0.2
Mo Bamba,10.6,0.506,7.5,0.1,0,0.1,0.08,-3.4,-1.1,-4.5,0
David Roddy,11.9,0.561,16,0.1,0.4,0.5,0.062,-1.6,0.1,-1.5,0.1
David Roddy,11.8,0.594,14.6,0.2,0.3,0.5,0.07,-1.6,0.5,-1.2,0.1
David Roddy,19.1,0.474,30,0,0,0,0.036,3.2,-0.4,2.9,0
David Roddy,7.2,0.44,18.5,0,0,0,0.007,-5.1,-3.2,-8.3,-0.1
Taj Gibson,10.8,0.515,13.4,0,0.4,0.4,0.043,-5.2,-0.1,-5.3,-0.3
Ousmane Dieng,11.5,0.538,15.7,0.1,0.7,0.9,0.104,-2,1.1,-0.9,0.1
Jordan Walsh,6.9,0.464,11.5,-0.2,0.5,0.4,0.044,-4.4,0.5,-3.9,-0.2
Hunter Tyson,9,0.506,15.5,0.1,0.3,0.4,0.047,-3.3,-1.5,-4.8,-0.3
Anthony Gill,10.2,0.586,12.7,0.4,0.1,0.5,0.058,-3,-1.5,-4.5,-0.3
Devin Carter,10.8,0.471,17.9,-0.1,0.4,0.4,0.043,-3.5,0.3,-3.2,-0.1
Jeff Green,13.6,0.649,14.7,0.9,0.4,1.3,0.159,0.3,0,0.4,0.2
Trey Jemison,8.9,0.537,12.4,0,0.3,0.3,0.037,-6.3,-0.5,-6.8,-0.5
Trey Jemison,9.4,0.461,13,-0.1,0.1,0,0.009,-5.8,-0.4,-6.2,-0.2
Trey Jemison,8.6,0.603,11.9,0,0.2,0.3,0.057,-6.7,-0.6,-7.3,-0.3
Reggie Jackson,9.8,0.496,17.5,0,0.2,0.1,0.015,-3.2,-0.8,-4,-0.2
Baylor Scheierman,10.3,0.49,14.5,0.2,0.5,0.7,0.089,-2.5,0.8,-1.7,0
Quenton Jackson,14.7,0.58,17.7,0.6,0.4,1,0.126,-1.2,0.8,-0.3,0.2
Alex Len,10.6,0.525,10.3,0.2,0.4,0.7,0.083,-3.9,1.2,-2.6,-0.1
Alex Len,13.1,0.557,9.6,0.3,0.3,0.6,0.121,-2.1,2.4,0.3,0.2
Alex Len,5.3,0.463,11.8,-0.1,0.1,0,0.002,-7.6,-1.3,-8.9,-0.2
Johnny Furphy,9.8,0.506,13,0.1,0.5,0.5,0.07,-3,0.6,-2.5,0
Charles Bassey,19,0.597,17.5,0.5,0.6,1.1,0.136,-1.7,0.6,-1.1,0.1
Dominick Barlow,14.6,0.58,14.5,0.7,0.3,1,0.131,-1.4,-0.8,-2.2,0
Dante Exum,13.6,0.589,19.6,0.4,0.2,0.6,0.083,-1.2,-1.1,-2.3,0
Damion Baugh,6.3,0.399,19.3,-0.8,0.2,-0.5,-0.069,-5.9,-1.2,-7.1,-0.5
Jaden Springer,10.7,0.511,14.3,0.1,0.4,0.5,0.07,-4.3,1.6,-2.7,-0.1
Jaden Springer,12.1,0.52,14.7,0.1,0.3,0.4,0.133,-4.4,4.1,-0.3,0.1
Jaden Springer,9.8,0.504,14.1,0,0.1,0.1,0.031,-4.3,0,-4.3,-0.1
Robert Williams,18.9,0.679,12.2,0.6,0.7,1.3,0.175,-0.1,3.2,3,0.4
Doug McDermott,9.5,0.617,15.7,0.4,0.1,0.4,0.061,-0.8,-2.4,-3.2,-0.1
Christian Koloko,13,0.624,10.8,0.5,0.4,0.9,0.13,-3,0.2,-2.8,-0.1
Terrence Shannon Jr.,11.9,0.56,17.7,0.3,0.4,0.6,0.091,-2.1,0,-2.1,0
Keion Brooks Jr.,12.8,0.581,17.1,0.3,0.1,0.4,0.057,-2.2,-1.3,-3.5,-0.1
Tristan Thompson,9.1,0.41,12.7,-0.2,0.5,0.4,0.057,-4.9,0.3,-4.6,-0.2
Maxwell Lewis,9.9,0.516,16.9,-0.1,0.3,0.2,0.03,-3.2,-1.1,-4.4,-0.2
Maxwell Lewis,2.2,0.333,12.1,-0.1,0,0,-0.082,-6.6,-2.9,-9.4,-0.1
Maxwell Lewis,10.6,0.526,17.4,0,0.2,0.3,0.041,-2.9,-1,-3.9,-0.1
Jevon Carter,12.2,0.509,21,0.1,0.3,0.3,0.046,-1,-1.1,-2.1,0
Patty Mills,8.4,0.543,15.6,0,0.1,0.1,0.017,-3.2,0,-3.2,-0.1
Patty Mills,6.2,0.473,15.1,-0.3,0.1,-0.2,-0.04,-4.5,0,-4.4,-0.2
Patty Mills,17.5,0.772,17.9,0.3,0,0.3,0.259,2.2,-0.1,2.1,0.1
Tre Mann,13.3,0.537,26,0,0.1,0.1,0.019,-0.6,-1.9,-2.4,0
Jalen Hood-Schifino,7.9,0.494,17.3,-0.2,0.1,-0.1,-0.015,-4.4,-2.5,-6.9,-0.4
Jalen Hood-Schifino,11.5,1.064,9,0,0,0,0.156,-3.9,1.5,-2.4,0
Jalen Hood-Schifino,7.7,0.484,17.7,-0.2,0.1,-0.1,-0.023,-4.5,-2.6,-7.1,-0.4
Torrey Craig,12.9,0.567,14.1,0.4,0.4,0.8,0.122,-1,0.1,-0.9,0.1
Torrey Craig,17.2,0.663,17.3,0.3,0.1,0.4,0.173,3.4,-1.1,2.3,0.1
Torrey Craig,10.5,0.474,12.3,0.1,0.3,0.4,0.094,-3.4,0.7,-2.7,0
Jordan McLaughlin,12.3,0.6,13.3,0.4,0.2,0.6,0.098,-1.6,0,-1.6,0
Jordan McLaughlin,9.4,0.519,14,0,0.2,0.2,0.045,-3.9,0.4,-3.5,-0.1
Jordan McLaughlin,16.9,0.734,12.3,0.4,0,0.5,0.178,1.8,-0.5,1.3,0.1
Matisse Thybulle,17,0.592,14.4,0.4,0.6,0.9,0.146,0,5.1,5,0.6
Isaac Jones,15.2,0.678,16.3,0.5,0.2,0.7,0.115,-0.9,-0.8,-1.7,0
Tyler Kolek,10.3,0.453,15.8,0.1,0.3,0.4,0.058,-2.6,-0.3,-2.8,-0.1
Mitchell Robinson,20.4,0.676,11.1,0.8,0.5,1.3,0.221,1.5,1.8,3.3,0.4
Josh Minott,15.5,0.605,17.2,0.4,0.5,0.9,0.153,-0.7,2.9,2.2,0.3
Kobe Brown,10.8,0.513,14,0.1,0.4,0.5,0.085,-2.5,0.4,-2.1,0
Dru Smith,13.3,0.656,13.8,0.2,0.4,0.7,0.118,-1.3,3.4,2.1,0.3
Isaiah Wong,10.9,0.5,22.1,-0.1,0.1,0.1,0.01,-2.9,-1,-4,-0.1
Marvin Bagley III,18.4,0.56,20.9,0.4,0.2,0.6,0.108,0.4,-1.6,-1.2,0.1
Marvin Bagley III,19.9,0.573,23.3,0.2,0.1,0.3,0.089,1,-2,-1,0
Marvin Bagley III,15.7,0.534,16.8,0.2,0.1,0.3,0.14,-0.5,-1,-1.5,0
Oscar Tshiebwe,21,0.64,15.3,0.7,0.3,1,0.182,0.6,-2,-1.4,0
Drew Timme,11,0.5,21.3,-0.1,0.2,0,0.009,-3.9,-2.8,-6.7,-0.3
Marcus Bagley,11.8,0.456,13.8,0,0.2,0.2,0.045,-3.4,-0.9,-4.3,-0.1
Cam Spencer,14.2,0.587,15.4,0.6,0.2,0.8,0.16,0.3,0.2,0.5,0.2
Kevin Love,16.2,0.488,24.6,-0.1,0.5,0.4,0.083,-0.3,0.7,0.4,0.2
Pat Spencer,12.6,0.455,21.2,-0.1,0.4,0.3,0.055,-3,1.4,-1.6,0
JT Thor,10,0.517,13.1,0,0.2,0.2,0.033,-4.3,-1.1,-5.4,-0.2
JT Thor,19.1,0.756,24.8,0,0.1,0.1,0.132,-1.2,1.3,0,0
JT Thor,8.2,0.429,10.8,0,0.1,0.1,0.013,-4.9,-1.6,-6.5,-0.2
Branden Carlson,17.6,0.581,19.3,0.4,0.5,0.9,0.177,0.5,0.8,1.3,0.2
Dariq Whitehead,9.4,0.58,20.1,-0.1,0.1,0.1,0.01,-1.5,-2.2,-3.7,-0.1
Johnny Davis,10.2,0.473,15.9,-0.1,0.2,0.1,0.01,-3.5,0.7,-2.8,0
Jaylen Martin,9.1,0.497,15.9,-0.1,0.1,0,-0.004,-4.5,-1.9,-6.3,-0.3
Jaylen Martin,12.8,0.75,17.5,0,0,0,0.112,4,-0.6,3.4,0
Jaylen Martin,9,0.491,15.9,-0.1,0.1,0,-0.007,-4.6,-1.9,-6.5,-0.3
Bones Hyland,16,0.576,28.2,0.1,0.4,0.5,0.095,0.9,1.8,2.7,0.3
Bones Hyland,16.4,0.569,29.6,0,0.4,0.4,0.09,1.2,1.9,3.1,0.3
Bones Hyland,11.1,0.833,10.2,0,0,0.1,0.165,-3.3,0.1,-3.2,0
Xavier Tillman Sr.,2.4,0.31,13.1,-0.7,0.4,-0.3,-0.057,-8.4,0.3,-8.1,-0.4
Garrett Temple,8.5,0.406,13.9,-0.1,0.3,0.2,0.033,-5.7,2.1,-3.6,-0.1
Jared Rhoden,16.4,0.602,19.7,0.4,0.2,0.6,0.131,-0.5,0,-0.5,0.1
Jared Rhoden,5.4,0.25,31.9,-0.1,0,-0.1,-0.229,-7.4,-1.2,-8.6,0
Jared Rhoden,17,0.633,19,0.5,0.2,0.7,0.151,-0.1,0.1,0,0.1
Luka Garza,18.8,0.573,26.2,0.4,0.3,0.7,0.144,-0.4,-1.9,-2.3,0
Ariel Hukporti,7.6,0.654,11.6,-0.2,0.3,0.1,0.02,-6.5,0.9,-5.6,-0.2
Alex Reese,14,0.641,13.2,0.3,0.2,0.5,0.109,-0.9,-0.3,-1.2,0
Alex Reese,53.6,1,21.2,0,0,0,0.59,23.2,-3.6,19.6,0
Alex Reese,13.6,0.635,13.1,0.2,0.2,0.5,0.105,-1.1,-0.3,-1.4,0
Dario Saric,7.7,0.449,15.6,-0.2,0.2,0,0.001,-4.4,-0.4,-4.8,-0.1
Adam Flagler,3.7,0.335,21.1,-0.6,0.3,-0.3,-0.062,-8.1,-2.3,-10.3,-0.4
Chuma Okeke,15.3,0.641,9.8,0.5,0.1,0.6,0.145,1.6,-1.8,-0.2,0.1
Chuma Okeke,16.5,0.699,9.5,0.5,0.1,0.6,0.162,2.3,-2,0.3,0.1
Chuma Okeke,6.8,0.357,11.9,0,0,0,0.028,-3.6,-0.5,-4.1,0
Drew Peterson,10.5,0.601,12.5,0.2,0.3,0.4,0.115,-1.8,1,-0.8,0.1
Markelle Fultz,8.9,0.452,19.3,-0.3,0.2,-0.1,-0.026,-4.5,-0.2,-4.7,-0.1
Lester Quinones,9.5,0.514,22.6,-0.1,0,-0.1,-0.025,-3.2,-2.9,-6.1,-0.2
Lester Quinones,8.2,0.533,31.9,-0.1,0,-0.1,-0.208,-3.7,-6.8,-10.5,0
Lester Quinones,9.7,0.511,21.7,0,0,0,-0.006,-3.1,-2.5,-5.6,-0.2
Bronny James,7.1,0.424,20.9,-0.3,0.2,-0.2,-0.043,-5.9,-1.3,-7.2,-0.2
Enrique Freeman,7.4,0.507,12.3,0,0.1,0.2,0.046,-4.9,-1.4,-6.3,-0.2
Cole Swider,6.5,0.465,16.7,-0.2,0.1,0,-0.009,-4.9,-2.4,-7.3,-0.2
Cole Swider,-11,0,16.2,-0.1,0,-0.1,-0.316,-14.6,-5.8,-20.4,-0.1
Cole Swider,8,0.505,16.7,-0.1,0.1,0.1,0.017,-4.1,-2.1,-6.2,-0.2
Jaylen Nowell,7.5,0.43,21.6,-0.2,0,-0.2,-0.069,-3.2,-2.5,-5.7,-0.2
Markieff Morris,6,0.385,20.5,-0.3,0.1,-0.2,-0.044,-5.2,-2.5,-7.6,-0.2
Markieff Morris,0,0.273,25.2,-0.2,0,-0.2,-0.225,-10.3,-2.8,-13.1,-0.1
Markieff Morris,7.9,0.434,19,0,0.1,0,0.016,-3.5,-2.3,-5.8,-0.1
Killian Hayes,12.7,0.559,15.5,0.2,0.1,0.3,0.095,-0.5,-0.1,-0.6,0.1
MarJon Beauchamp,12.3,0.535,24.9,-0.1,0.2,0.1,0.02,-2.7,-1.6,-4.3,-0.1
MarJon Beauchamp,8.5,0.497,23.5,-0.2,0.1,-0.1,-0.041,-4.7,-1.8,-6.5,-0.1
MarJon Beauchamp,22.3,0.685,25.1,0.1,0,0.1,0.223,5.9,-2,4,0
MarJon Beauchamp,29.8,0.588,35.2,0.1,0,0.1,0.254,3.4,0.3,3.7,0
Lamar Stevens,11.5,0.545,20.2,0,0.2,0.2,0.052,-3.6,-0.6,-4.2,-0.1
Tyson Etienne,5.6,0.488,18.6,-0.1,0.1,-0.1,-0.021,-5.7,-3.1,-8.8,-0.3
Josh Richardson,4.4,0.402,14.1,-0.2,0.2,-0.1,-0.021,-7.3,0.6,-6.7,-0.2
Jeenathan Williams,8.6,0.496,22.3,-0.2,0.2,0,-0.007,-5.5,-0.2,-5.7,-0.1
Bruno Fernando,15.3,0.552,18.9,0,0.2,0.3,0.085,-3,2.3,-0.7,0.1
Damion Lee,11.9,0.499,28.6,-0.2,0.1,-0.1,-0.031,-2.9,-2.1,-5.1,-0.1
Oshae Brissett,9.8,0.576,16.3,0,0.1,0.1,0.019,-3.7,-2.6,-6.3,-0.1
Elijah Harkless,7.8,0.425,12.3,0,0.1,0.1,0.023,-5.2,1.5,-3.8,-0.1
Pete Nance,8.5,0.578,11.7,0.1,0.1,0.2,0.064,-3.1,-1.7,-4.9,-0.1
Pete Nance,5.3,0.472,10.2,0,0,0,0.027,-4.4,-1.9,-6.3,-0.1
Pete Nance,11.5,0.676,13.2,0.1,0.1,0.1,0.1,-1.8,-1.6,-3.5,0
Vlatko Cancar,4.6,0.462,11.5,-0.2,0.1,-0.1,-0.034,-6.5,-0.6,-7.1,-0.2
Kylor Kelley,12.1,0.644,10.3,0.2,0.1,0.3,0.102,-3.5,-1.9,-5.4,-0.1
Kylor Kelley,17.1,0.767,10.7,0.2,0,0.3,0.196,-0.6,-1.7,-2.3,0
Kylor Kelley,6.5,0.465,9.8,0,0,0,-0.004,-6.8,-2,-8.8,-0.1
Alex Ducas,10.1,0.583,11.8,0.1,0.2,0.3,0.125,-2.1,0.1,-2,0
Spencer Jones,4.5,0.368,13.7,-0.2,0.1,-0.1,-0.031,-7.7,-0.8,-8.5,-0.2
Kobe Bufkin,10.5,0.483,20.8,0,0.1,0,0.018,-3.4,-0.5,-4,-0.1
Tyler Smith,15.2,0.626,22.1,0.1,0.1,0.2,0.083,0.4,-1.2,-0.9,0
De'Anthony Melton,13.3,0.539,23.5,0,0.2,0.2,0.076,-1.6,0.8,-0.8,0
Moses Brown,22.4,0.706,23.5,0.2,0.2,0.4,0.146,-0.3,0.5,0.1,0.1
Moses Brown,16,0.653,26.5,0,0.1,0,0.02,-3.9,-1.4,-5.2,0
Moses Brown,26.3,0.743,21.6,0.2,0.1,0.3,0.225,1.9,1.6,3.5,0.1
TyTy Washington Jr.,6.5,0.367,19,-0.2,0,-0.2,-0.065,-5.6,-2.5,-8,-0.2
Trey Alexander,2.9,0.374,17.3,-0.2,0,-0.2,-0.077,-7.9,-1.8,-9.7,-0.2
Joe Ingles,2.4,0.326,12.2,-0.2,0.1,-0.1,-0.035,-6.9,-0.1,-7,-0.1
Sidy Cissoko,6.7,0.471,16.6,-0.2,0.1,-0.1,-0.045,-4.8,-0.3,-5.1,-0.1
Sidy Cissoko,11.2,0.533,17.9,0,0,0,0.041,-1.6,-1,-2.6,0
Sidy Cissoko,2.7,0.375,15.5,-0.2,0,-0.2,-0.123,-7.7,0.4,-7.3,-0.1
Tony Bradley,23.2,0.64,20.1,0.3,0.2,0.4,0.187,1.5,-0.3,1.2,0.1
Jaylen Sims,9.8,0.607,16.2,0.1,0,0.1,0.048,-2.8,-1.3,-4.1,-0.1
Pacome Dadiet,6.3,0.446,14.7,-0.1,0.1,0,0.002,-4.9,-1.5,-6.5,-0.1
Patrick Baldwin Jr.,16.2,0.721,16.4,0.1,0.1,0.2,0.098,2.4,-0.9,1.5,0.1
Patrick Baldwin Jr.,14.5,0.676,16.5,0.1,0.1,0.1,0.07,1.3,-1.6,-0.2,0
Patrick Baldwin Jr.,45.4,1.5,14.5,0.1,0,0.1,0.573,19.9,10.8,30.7,0.1
Chris Livingston,9.8,0.441,16.6,-0.1,0.2,0.1,0.035,-5,-1.1,-6.1,-0.1
Jae Crowder,6.6,0.467,12,0,0.1,0.1,0.026,-3.8,-0.5,-4.3,-0.1
Justin Minaya,5,0.411,11.1,-0.1,0.1,0,-0.007,-7.1,1.7,-5.4,-0.1
Keshad Johnson,19.1,0.718,15.4,0.2,0.2,0.4,0.181,-1,0.9,-0.1,0
Yuki Kawamura,11,0.53,16.9,0.1,0.1,0.2,0.095,-2.6,-0.2,-2.8,0
JD Davison,6.5,0.445,23.6,-0.3,0.1,-0.2,-0.081,-5.9,-0.3,-6.2,-0.1
Luke Travers,1.9,0.287,13.9,-0.2,0.1,-0.1,-0.082,-7.8,-1.9,-9.7,-0.2
Stanley Umude,3.4,0.27,15.7,-0.3,0.1,-0.2,-0.086,-7.5,-0.7,-8.1,-0.1
Kevin Knox,17.1,0.582,21.8,0.1,0.1,0.2,0.121,-0.7,-0.6,-1.3,0
Isaiah Jackson,18.2,0.6,17.6,0.1,0.1,0.3,0.153,-1,1.8,0.8,0.1
Marcus Garrett,8.7,0.487,18.7,-0.1,0.1,0,-0.002,-5.4,-2.2,-7.6,-0.1
Jacob Toppin,9.2,0.523,13.9,0,0.1,0,0.03,-1.8,-0.8,-2.6,0
Jacob Toppin,4.5,0.3,10.6,-0.1,0.1,0,-0.024,-6.4,0.4,-6,0
Jacob Toppin,17.9,0.708,19.8,0.1,0,0.1,0.127,6.6,-3,3.5,0
Emoni Bates,9.8,0.487,22.6,0,0.1,0.1,0.038,-0.5,-1,-1.5,0
Taylor Hendricks,7.1,0.354,12.1,-0.1,0.1,0,-0.008,-4.8,1.3,-3.5,0
Chris Duarte,16.5,0.61,17.2,0.2,0,0.3,0.171,2.2,-1,1.2,0.1
Daeqwon Plowden,16.1,0.831,17,0.2,0,0.2,0.125,1.5,-1.5,-0.1,0
RayJ Dennis,13.9,0.443,24,-0.1,0.1,0.1,0.036,-2.2,3,0.7,0
Josh Christopher,9.4,0.416,25.5,-0.2,0.1,-0.1,-0.073,-7.5,-0.4,-7.9,-0.1
Matt Ryan,6.1,0.439,22.3,-0.1,0.1,-0.1,-0.057,-5.1,-2.3,-7.5,-0.1
Armel Traore,3.5,0.317,16.4,-0.2,0.1,-0.1,-0.092,-9.5,-0.4,-9.8,-0.1
PJ Hall,18.3,0.641,17.8,0.2,0.1,0.2,0.168,-0.7,-0.6,-1.3,0
Nae'Qwan Tomlin,14.4,0.489,26.1,0.1,0.1,0.1,0.093,-3,-2.4,-5.5,-0.1
Jamaree Bouyea,9.7,0.581,16,-0.1,0.1,0,0.007,-4.6,-0.9,-5.4,0
Cam Christie,9.1,0.349,20.5,-0.1,0.1,0,-0.005,-5.5,3,-2.5,0
P.J. Tucker,5.5,0.643,6,0,0,0.1,0.07,-4.8,-2.4,-7.2,-0.1
Jazian Gortman,6.5,0.485,22.4,-0.1,0,-0.1,-0.056,-5.5,-0.8,-6.3,-0.1
Liam Robbins,2.6,0.363,14.2,-0.1,0.1,-0.1,-0.066,-9.2,-1.3,-10.5,-0.1
E.J. Liddell,11.1,0.661,14.1,0.1,0,0.1,0.108,-2.7,-1.4,-4.1,0
Jackson Rowe,15.9,0.56,16.7,0.1,0.1,0.2,0.153,-0.5,1.5,1,0
N'Faly Dante,24,0.789,13.9,0.2,0.1,0.3,0.283,0.7,1.7,2.4,0.1
Isaiah Crawford,9.2,0.509,12.9,0,0,0,0.037,-3.4,-0.7,-4.1,0
Mason Jones,20.6,0.569,20.3,0.2,0,0.2,0.198,3.5,-0.6,2.9,0.1
Phillip Wheeler,-2.3,0.183,22.6,-0.3,0,-0.3,-0.283,-12,-6.2,-18.2,-0.2
Malachi Flynn,12.4,0.512,19,0,0,0,0.043,-4.4,1.5,-2.8,0
Jack McVeigh,4,0.412,18.2,-0.1,0,0,-0.031,-4.8,-3,-7.7,-0.1
Bobi Klintman,15.9,0.689,11.9,0.1,0.1,0.2,0.208,-1,1.9,1,0
James Johnson,0,0.35,18,-0.2,0,-0.1,-0.162,-9.6,-0.2,-9.7,-0.1
PJ Dozier,9.5,0.621,8.2,0,0,0.1,0.107,-2,2.7,0.7,0
Harrison Ingram,10.9,0.5,6.1,0,0.1,0.1,0.093,-3.6,2.4,-1.2,0
Miles Norris,8.5,0.354,12.4,0,0.1,0,0.049,-2.3,0.4,-1.9,0
David Duke Jr.,12.2,0.538,21.2,0,0,0,0.023,-0.1,-1.4,-1.5,0
D.J. Carton,-2.6,0.202,14.5,-0.2,0,-0.1,-0.199,-10.4,-0.7,-11.1,-0.1
Bryce McGowens,1.7,0.391,26.8,-0.1,0,-0.1,-0.172,-9.9,-3.8,-13.6,-0.1
Leonard Miller,19.9,0.54,27.8,0,0.1,0.1,0.145,-3.4,-0.3,-3.7,0
Ulrich Chomche,5.2,0.425,10.3,0,0,0,0.001,-6.1,-1.3,-7.4,0
Jalen Bridges,-0.1,0.514,18.8,-0.1,0,-0.1,-0.178,-7.8,-4.7,-12.5,-0.1
Jahmir Young,16.8,0.935,9.6,0.1,0,0.1,0.22,1.2,-0.8,0.5,0
Kevin McCullar Jr.,6.7,0.381,11.8,0,0,0,0.06,-8.5,1.3,-7.2,0
Trentyn Flowers,4.3,0.446,21.5,0,0,0,-0.033,-7.1,-1.3,-8.3,0
Emanuel Miller,18.1,0.563,14.8,0.1,0,0.1,0.201,-0.9,-0.9,-1.8,0
Daniss Jenkins,-0.1,0.322,21.8,-0.1,0,-0.1,-0.15,-10.2,-5.7,-15.8,-0.1
Anton Watson,5.9,0.444,21.7,-0.1,0,0,-0.07,-8.3,-1.8,-10.1,0
Tolu Smith,19.5,0.678,23.6,0,0,0.1,0.128,-2.4,-6.5,-8.9,0
Malevy Leons,-2.3,0.266,9.6,0,0,0,-0.052,-10.4,-1.9,-12.4,-0.1
Adama Sanogo,15.2,0.571,15.9,0,0,0,0.105,0.7,-3.4,-2.6,0
Taze Moore,7.1,0.276,26.8,-0.1,0,-0.1,-0.15,-3.9,-0.4,-4.3,0
Ron Harper Jr.,7.9,0.225,22,0,0,0,-0.06,-5.5,-9.2,-14.7,0
Isaiah Mobley,17.2,0.381,20.2,0,0,0,0.119,0,4.8,4.7,0
Yuri Collins,13.9,0.333,7.9,0,0,0.1,0.214,-6.2,6.5,0.3,0
Tristen Newton,-6.1,0.178,28.2,-0.1,0,-0.1,-0.33,-16.7,-4,-20.7,-0.1
Tristen Newton,-15.3,0.233,40.2,-0.1,0,-0.1,-0.553,-21.9,-10.8,-32.7,-0.1
Tristen Newton,3.1,0,16.2,0,0,0,-0.107,-11.4,2.7,-8.7,0
Daishen Nix,-7,0.266,19.6,-0.1,0,-0.1,-0.327,-14.9,-1.2,-16.2,0
Skal Labissiere,15.9,0.625,14.3,0,0,0,0.165,3.3,-1.3,2.1,0
Braxton Key,1.1,0.226,29.3,-0.1,0,-0.1,-0.259,-13.9,0.3,-13.6,0
Cui Yongxi,-10.7,0.19,34.4,-0.1,0,-0.1,-0.473,-16.8,-8.2,-24.9,-0.1
Mac McClung,-0.3,0,8.7,0,0,0,-0.047,-10.2,-0.8,-11,0
Quincy Olivari,-5.2,0.3,26.3,-0.1,0,-0.1,-0.3,-10.1,-8.5,-18.6,0
Terence Davis,-4,0,10.8,0,0,0,-0.191,-12.8,-4.1,-16.9,0
Jalen McDaniels,10.9,,0,0,0,0,0.114,-0.5,6,5.6,0
Riley Minix,-1.7,0,6.1,0,0,0,-0.114,-8.5,-3.3,-11.8,0
Isaiah Stevens,0.1,0,14.8,0,0,0,-0.196,-19.5,7.7,-11.8,0
Terry Taylor,9.8,0,7.2,0,0,0,0.049,3.2,0.1,3.3,0
Jesse Edwards,-0.1,,0,0,0,0,0.111,-8.8,4.7,-4,0
James Wiseman,31.2,0.615,42.2,0,0,0,0.237,6,-4.4,1.6,0
Alondes Williams,53.4,1.25,21.1,0,0,0,0.565,37.9,6.2,44.1,0
Zyon Pullin,-11.7,0,13.4,0,0,0,-0.304,-15,-7.7,-22.7,0
Jahlil Okafor,13.8,,0,0,0,0,0.196,2.5,4.9,7.5,0
